# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  5 19:33:53 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
47 UMa b,2.1100000000,,,0,,,,,,,,
47 UMa b,2.0590000000,0.0310000000,-0.0320000000,0,1.136537,0.026526,-0.026526,0,5829.16,94.78,-94.78,0
47 UMa c,3.6000000000,0.1000000000,-0.1000000000,0,1.213340,0.038883,-0.058353,0,5872.00,92.94,-113.53,0
47 UMa c,7.7300000000,0.5800000000,-0.5800000000,0,,,,,,,,
47 UMa c,3.4040000000,0.0540000000,-0.0560000000,0,1.136537,0.026526,-0.026526,0,5829.16,94.78,-94.78,0
47 UMa d,11.6000000000,2.1000000000,-2.9000000000,0,1.213340,0.038883,-0.058353,0,5872.00,92.94,-113.53,0
47 UMa d,13.8000000000,4.8000000000,-2.1000000000,0,1.136537,0.026526,-0.026526,0,5829.16,94.78,-94.78,0
51 Eri b,13.2000000000,0.2000000000,-0.2000000000,0,,,,,,,,
51 Eri b,12.0000000000,4.0000000000,-2.0000000000,0,1.487260,0.045434,-0.055079,0,7295.00,120.09,-98.99,0
51 Eri b,14.0000000000,7.0000000000,-3.0000000000,0,1.487260,0.045434,-0.055079,0,7295.00,120.09,-98.99,0
51 Peg b,0.0520000000,,,0,,,,,,,,
51 Peg b,0.0527000000,0.0030000000,-0.0030000000,0,1.175610,0.067361,-0.035328,0,5758.00,101.62,-119.62,0
51 Peg b,0.0520000000,,,0,,,,,,,,
51 Peg b,,,,,1.290000,,,0,5773.00,,,0
51 Peg b,0.0523500000,0.0007600000,-0.0007900000,0,1.186744,0.027703,-0.027703,0,5760.76,95.49,-95.49,0
55 Cnc b,0.1150000000,,,0,,,,,,,,
55 Cnc b,0.1150000000,0.0000011000,-0.0000011000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc b,0.1134000000,0.0006000000,-0.0006000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc b,0.1134000000,0.0006000000,-0.0006000000,0,0.943000,0.010000,-0.010000,0,5172.00,18.00,-18.00,0
55 Cnc b,0.1138000000,0.0066000000,-0.0066000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc b,0.1152272500,0.0000007900,-0.0000007900,0,,,,,,,,
55 Cnc b,0.1133900000,0.0001100000,-0.0001100000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc b,0.1162000000,0.0018000000,-0.0018000000,0,0.964411,0.020816,-0.020816,0,5317.89,80.51,-80.51,0
55 Cnc b,0.1100000000,,,0,,,,,5200.00,,,0
55 Cnc b,0.1150000000,0.0030000000,-0.0030000000,0,,,,,,,,
55 Cnc b,0.1150000000,0.0030000000,-0.0030000000,0,,,,,,,,
55 Cnc b,0.1130000000,,,0,,,,,,,,
55 Cnc c,0.2373000000,0.0013000000,-0.0013000000,0,0.943000,0.010000,-0.010000,0,5172.00,18.00,-18.00,0
55 Cnc c,0.2400000000,0.0000450000,-0.0000450000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc c,0.2400000000,0.0080000000,-0.0080000000,0,,,,,,,,
55 Cnc c,0.2373500000,0.0002400000,-0.0002400000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc c,0.2413760000,0.0000260000,-0.0000260000,0,,,,,,,,
55 Cnc c,0.2432000000,0.0037000000,-0.0038000000,0,0.964411,0.020816,-0.020816,0,5317.89,80.51,-80.51,0
55 Cnc c,0.2380000000,0.0140000000,-0.0140000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc c,0.2370000000,0.0013000000,-0.0013000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc d,5.5400000000,0.1000000000,-0.1000000000,0,0.964411,0.020816,-0.020816,0,5317.89,80.51,-80.51,0
55 Cnc d,5.2570000000,0.2080000000,-0.2080000000,0,,,,,,,,
55 Cnc d,5.2800000000,,,0,,,,,,,,
55 Cnc d,5.4460000000,0.0200000000,-0.0200000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc d,5.8400000000,0.3900000000,-0.3900000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc d,5.9570000000,0.0740000000,-0.0710000000,0,0.943000,0.010000,-0.010000,0,5172.00,18.00,-18.00,0
55 Cnc d,5.4700000000,0.0600000000,-0.0600000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc d,5.7700000000,0.1100000000,-0.1100000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc d,5.5030000000,0.0300000000,-0.0300000000,0,,,,,,,,
55 Cnc d,5.9000000000,0.9000000000,-0.9000000000,0,,,,,,,,
55 Cnc e,,,,,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,,,,,,,,,,,,
55 Cnc e,,,,,0.954000,0.017000,-0.018000,0,5172.00,18.00,-18.00,0
55 Cnc e,0.0154400000,0.0000900000,-0.0000900000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,0.0380000000,0.0010000000,-0.0010000000,0,,,,,,,,
55 Cnc e,,,,,0.963515,0.065447,-0.065447,0,5250.00,147.60,-147.60,0
55 Cnc e,,,,,0.980000,0.016000,-0.016000,0,,,,
55 Cnc e,,,,,,,,,,,,
55 Cnc e,0.0158300000,0.0002000000,-0.0002000000,0,0.943000,0.010000,-0.010000,0,,,,
55 Cnc e,0.0154390000,0.0000150000,-0.0000150000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,0.0154400000,0.0000900000,-0.0000900000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,0.0158300000,0.0002400000,-0.0002400000,0,0.964411,0.020816,-0.020816,0,5317.89,80.51,-80.51,0
55 Cnc e,0.0377000000,0.0022000000,-0.0022000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,0.0158300000,0.0002000000,-0.0002000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc e,0.0156909070,0.0000000210,-0.0000000210,0,,,,,,,,
55 Cnc e,0.0154400000,0.0000900000,-0.0000900000,0,0.943000,0.010000,-0.010000,0,5234.00,30.00,-30.00,0
55 Cnc e,,,,,0.943000,0.010000,-0.010000,0,5272.00,24.00,-24.00,0
55 Cnc e,0.0154400000,0.0000500000,-0.0000500000,0,0.943000,0.010000,-0.010000,0,5172.00,18.00,-18.00,0
55 Cnc e,,,,,0.943000,0.010000,-0.010000,0,5234.00,30.00,-30.00,0
55 Cnc f,0.7733000000,0.0010000000,-0.0010000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc f,0.7880000000,0.0010000000,-0.0010000000,0,,,,,,,,
55 Cnc f,0.7700000000,0.0050000000,-0.0050000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc f,0.7708000000,0.0043000000,-0.0044000000,0,0.943000,0.010000,-0.010000,0,5172.00,18.00,-18.00,0
55 Cnc f,0.7810000000,0.0070000000,-0.0070000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc f,0.7750000000,0.0450000000,-0.0450000000,0,0.963515,0.077739,-0.053155,0,5250.00,123.30,-171.85,0
55 Cnc f,0.7920000000,0.0120000000,-0.0120000000,0,0.964411,0.020816,-0.020816,0,5317.89,80.51,-80.51,0
6 Lyn b,2.1100000000,0.1100000000,-0.1100000000,0,5.200000,,,0,4938.00,,,0
6 Lyn b,2.1800000000,0.0500000000,-0.0600000000,0,5.200000,0.400000,-0.300000,0,,,,
6 Lyn b,2.0280000000,0.0030000000,-0.0050000000,0,4.940000,0.550000,-0.500000,0,4941.00,,,0
6 Lyn b,2.2000000000,,,0,5.200000,0.400000,-0.300000,0,4978.00,18.00,-18.00,0
61 Vir b,0.0495600000,0.0006500000,-0.0006700000,0,1.032510,0.023198,-0.023198,0,5585.57,78.88,-78.88,0
61 Vir b,0.0502010000,0.0000050000,-0.0000050000,0,0.963000,0.011000,-0.011000,0,5577.00,33.00,-33.00,0
61 Vir c,0.2151000000,0.0028000000,-0.0029000000,0,1.032510,0.023198,-0.023198,0,5585.57,78.88,-78.88,0
61 Vir c,0.2175000000,0.0001000000,-0.0001000000,0,0.963000,0.011000,-0.011000,0,5577.00,33.00,-33.00,0
61 Vir d,0.4760000000,0.0010000000,-0.0010000000,0,0.963000,0.011000,-0.011000,0,5577.00,33.00,-33.00,0
7 CMa b,1.9000000000,0.1000000000,-0.1000000000,0,2.300000,0.100000,-0.100000,0,4792.00,100.00,-100.00,0
7 CMa b,1.9300000000,0.0100000000,-0.0100000000,0,4.908430,,,0,4794.52,24.10,-24.10,0
7 CMa b,1.7580000000,0.0240000000,-0.0010000000,0,4.870000,0.170000,-0.140000,0,4826.00,45.00,-55.00,0
7 CMa b,1.8000000000,0.0330000000,-0.0330000000,0,5.198000,0.060000,-0.060000,0,,,,
7 CMa c,2.1530000000,0.0030000000,-0.0800000000,0,4.870000,0.170000,-0.140000,0,4826.00,45.00,-55.00,0
7 CMa c,2.2050000000,0.0860000000,-0.0860000000,0,5.198000,0.060000,-0.060000,0,,,,
70 Vir b,0.4560000000,,,0,,,,,,,,
70 Vir b,0.4840000000,0.0280000000,-0.0280000000,0,,,,,5545.00,,,0
70 Vir b,0.4800000000,0.0100000000,-0.0100000000,0,1.840000,0.030000,-0.030000,0,5531.00,11.00,-11.00,0
70 Vir b,0.4765000000,0.0043000000,-0.0044000000,0,1.921943,0.048056,-0.048056,0,5481.86,100.68,-100.68,0
70 Vir b,0.4810000000,0.0220000000,-0.0220000000,0,1.890000,,,0,5495.00,,,0
70 Vir b,0.4810000000,0.0030000000,-0.0030000000,0,1.940000,0.050000,-0.050000,0,5439.00,44.00,-44.00,0
75 Cet b,1.9120000000,0.0020000000,-0.0030000000,0,10.380000,0.150000,-0.260000,0,4809.00,,,0
75 Cet b,2.1000000000,,,0,10.500000,1.000000,-1.000000,0,4846.00,18.00,-18.00,0
75 Cet c,3.9290000000,0.0580000000,-0.0520000000,0,10.380000,0.150000,-0.260000,0,4809.00,,,0
8 UMi b,0.4900000000,0.0300000000,-0.0300000000,0,9.900000,0.400000,-0.400000,0,4847.40,7.50,-7.50,0
8 UMi b,0.4900000000,0.0200000000,-0.0200000000,0,10.300000,0.570000,-0.570000,0,4847.00,7.00,-7.00,0
81 Cet b,2.1700000000,0.1700000000,-0.0900000000,0,,,,,,,,
81 Cet b,2.1040000000,0.0030000000,-0.0030000000,0,11.210000,0.810000,-0.350000,0,4734.00,,,0
81 Cet b,2.5000000000,,,0,11.000000,2.000000,-1.000000,0,4785.00,25.00,-25.00,0
91 Aqr b,0.7000000000,,,0,11.000000,0.100000,-0.100000,0,4665.00,18.00,-18.00,0
AB Aur b,93.9000000000,49.3000000000,-49.3000000000,0,,,,,9770.00,100.00,-100.00,0
AB Pic b,260.0000000000,,,0,,,,,,,,
AF Lep b,8.4000000000,1.1000000000,-1.3000000000,0,1.250000,0.060000,-0.060000,0,6130.00,60.00,-60.00,0
AF Lep b,9.3000000000,2.3000000000,-1.8000000000,0,,,,,6140.00,47.00,-47.00,0
AF Lep b,7.9900000000,0.8500000000,-0.9200000000,0,1.250000,0.060000,-0.060000,0,6100.00,,,0
AT2021ueyL b,4.0100000000,1.6800000000,-1.3400000000,0,,,,,3680.00,307.00,-204.00,0
AU Mic b,0.0660000000,0.0070000000,-0.0060000000,0,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic b,,,,,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic b,,,,,0.820000,0.020000,-0.020000,0,3665.00,31.00,-31.00,0
AU Mic b,0.0649000000,0.0012000000,-0.0012000000,0,0.744000,0.023000,-0.021000,0,3678.00,90.00,-88.00,0
AU Mic b,,,,,,,,,,,,
AU Mic b,0.0645000000,0.0013000000,-0.0013000000,0,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic b,,,,,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic b,,,,,0.698009,0.021096,-0.021096,0,3588.00,87.00,-87.00,0
AU Mic b,0.0644000000,0.0056000000,-0.0054000000,0,0.750000,0.029000,-0.030000,0,,,,
AU Mic b,0.0645000000,0.0013000000,-0.0013000000,0,,,,,,,,
AU Mic c,0.1108000000,0.0020000000,-0.0020000000,0,0.744000,0.023000,-0.021000,0,3678.00,90.00,-88.00,0
AU Mic c,,,,,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic c,0.1101000000,0.0022000000,-0.0022000000,0,0.750000,0.030000,-0.030000,0,3700.00,100.00,-100.00,0
AU Mic c,0.1100000000,0.0100000000,-0.0100000000,0,0.750000,0.029000,-0.030000,0,,,,
AU Mic c,0.1101000000,0.0020000000,-0.0020000000,0,,,,,,,,
AU Mic c,,,,,0.820000,0.020000,-0.020000,0,3665.00,31.00,-31.00,0
AU Mic d,,,,,0.744000,0.023000,-0.021000,0,3678.00,90.00,-88.00,0
BD+03 2562 b,1.3000000000,0.1000000000,-0.1000000000,0,32.350000,8.820000,-8.820000,0,4095.00,20.00,-20.00,0
BD+05 4868 A b,0.0208000000,0.0003000000,-0.0003000000,0,0.690000,0.020000,-0.020000,0,4596.00,65.00,-64.00,0
BD+14 4559 b,0.7800000000,0.0500000000,-0.0500000000,0,0.860000,0.040000,-0.040000,0,4864.00,101.00,-101.00,0
BD+14 4559 b,0.7770000000,,,0,0.950000,0.200000,-0.200000,0,5008.00,20.00,-20.00,0
BD+15 2375 b,0.5760000000,0.0270000000,-0.0270000000,0,8.950000,1.450000,-1.450000,0,4649.00,30.00,-30.00,0
BD+15 2940 b,0.5390000000,,,0,14.700000,2.800000,-2.800000,0,4796.00,117.00,-117.00,0
BD+20 2457 b,1.4500000000,,,0,49.000000,26.000000,-26.000000,0,4137.00,10.00,-10.00,0
BD+20 2457 b,1.0500000000,0.0700000000,-0.0700000000,0,71.020000,73.630000,-73.630000,0,4259.00,64.00,-64.00,0
BD+20 2457 c,2.0100000000,,,0,49.000000,26.000000,-26.000000,0,4137.00,10.00,-10.00,0
BD+20 274 b,1.3000000000,,,0,17.300000,0.900000,-0.900000,0,4296.00,10.00,-10.00,0
BD+20 594 b,,,,,0.956122,0.098585,-0.054675,0,5703.00,50.00,-50.00,0
BD+20 594 b,,,,,1.080000,0.060000,-0.060000,0,5766.00,99.00,-99.00,0
BD+20 594 b,0.2410000000,0.0190000000,-0.0170000000,0,0.928000,0.055000,-0.040000,0,5766.00,99.00,-99.00,0
BD+45 564 b,0.8300000000,0.0400000000,-0.0400000000,0,,,,,5004.00,50.00,-50.00,0
BD+48 738 b,1.0000000000,,,0,11.000000,1.000000,-1.000000,0,4414.00,15.00,-15.00,0
BD+48 740 b,1.7000000000,0.1000000000,-0.1000000000,0,10.330000,1.810000,-1.810000,0,4534.00,8.00,-8.00,0
BD+49 828 b,4.2000000000,0.3200000000,-0.2000000000,0,7.600000,1.300000,-1.300000,0,4943.00,30.00,-30.00,0
BD+55 362 b,0.7800000000,0.0500000000,-0.0500000000,0,,,,,5012.00,78.00,-78.00,0
BD+60 1417 b,1662.0000000000,,,0,0.797000,0.051000,-0.051000,0,4993.00,124.00,-124.00,0
BD+63 1405 b,2.0600000000,0.1400000000,-0.1400000000,0,,,,,5000.00,53.00,-53.00,0
BD+63 1405 b,2.1150000000,0.0850000000,-0.0820000000,0,,,,,5000.00,53.00,-53.00,0
BD-06 1339 b,0.0428000000,0.0007000000,-0.0007000000,0,,,,,4324.00,100.00,-100.00,0
BD-06 1339 c,0.4350000000,0.0070000000,-0.0070000000,0,,,,,4324.00,100.00,-100.00,0
BD-08 2823 b,0.0600000000,0.0000000000,0.0000000000,0,0.710000,0.040000,-0.040000,0,4816.00,114.00,-114.00,0
BD-08 2823 b,0.0560000000,0.0020000000,-0.0020000000,0,,,,,4746.00,63.00,-63.00,0
BD-08 2823 c,0.6800000000,0.0200000000,-0.0200000000,0,,,,,4746.00,63.00,-63.00,0
BD-10 3166 b,0.0400000000,0.0000000000,0.0000000000,0,0.910000,0.040000,-0.040000,0,5393.00,44.00,-44.00,0
BD-10 3166 b,0.0450000000,0.0006400000,-0.0006700000,0,0.969745,0.021043,-0.021043,0,5382.64,78.53,-78.53,0
BD-10 3166 b,0.0460000000,,,0,,,,,5400.00,,,0
BD-10 3166 b,0.0452000000,0.0026000000,-0.0026000000,0,,,,,5393.00,,,0
BD-11 4672 b,2.3600000000,0.0400000000,-0.0400000000,0,0.639000,0.020000,-0.022000,0,4550.00,110.00,-110.00,0
BD-11 4672 b,2.2800000000,0.0700000000,-0.0700000000,0,0.520000,0.020000,-0.020000,0,4475.00,100.00,-100.00,0
BD-11 4672 c,0.3000000000,0.0100000000,-0.0100000000,0,0.639000,0.020000,-0.022000,0,4550.00,110.00,-110.00,0
BD-13 2130 b,1.6600000000,0.1200000000,-0.1200000000,0,19.170000,4.960000,-4.960000,0,4545.00,71.00,-71.00,0
BD-13 2130 b,2.1000000000,,,0,,,,,,,,
BD-14 3065 b,0.0656000000,0.0026000000,-0.0026000000,0,2.350000,0.080000,-0.080000,0,6935.00,90.00,-90.00,0
BD-14 3065 b,,,,,2.610000,0.120000,-0.120000,0,6736.90,107.50,-107.50,0
BD-17 63 b,1.3400000000,0.0200000000,-0.0200000000,0,0.740000,0.040000,-0.040000,0,4665.00,120.00,-120.00,0
BD-17 63 b,,,,,,,,,,,,
BD-17 63 b,,,,,,,,,,,,
BD-17 63 b,1.3400000000,0.0200000000,-0.0200000000,0,0.690000,,,0,4714.00,93.00,-93.00,0
BD-210397 b,2.6300000000,0.0600000000,-0.0500000000,0,0.747000,0.088000,-0.088000,0,4051.00,239.00,-239.00,0
BD-210397 c,5.9000000000,0.1000000000,-0.1000000000,0,,,,,,,,
BD-210397 c,5.9000000000,3.4000000000,-0.5000000000,0,0.747000,0.088000,-0.088000,0,4051.00,239.00,-239.00,0
Barnard b,0.0229400000,0.0003300000,-0.0003300000,0,0.185000,0.006000,-0.006000,0,3195.00,28.00,-28.00,0
Barnard b,0.0229000000,0.0003000000,-0.0003000000,0,0.185000,0.006000,-0.006000,0,3195.00,28.00,-28.00,0
Barnard c,0.0274000000,0.0004000000,-0.0004000000,0,0.185000,0.006000,-0.006000,0,3195.00,28.00,-28.00,0
Barnard d,0.0188000000,0.0003000000,-0.0003000000,0,0.185000,0.006000,-0.006000,0,3195.00,28.00,-28.00,0
Barnard e,0.0381000000,0.0005000000,-0.0005000000,0,0.185000,0.006000,-0.006000,0,3195.00,28.00,-28.00,0
CD Cet b,0.0185000000,0.0013000000,-0.0013000000,0,0.175000,0.006000,-0.006000,0,3130.00,51.00,-51.00,0
CFBDSIR J145829+101343 b,2.6000000000,0.3000000000,-0.3000000000,0,,,,,580.50,24.50,-24.50,0
CFHTWIR-Oph 98 b,200.0000000000,6.0000000000,-6.0000000000,0,0.245000,0.007000,-0.008000,0,2320.00,40.00,-40.00,0
